Date,Particulars,Voucher No.,GSTIN/UIN,Gross Total,Sales Taxable@5%,Output CGST@2.5%,Output SGST@2.5%,Sales Taxable @12%,Output CGST @6%,Output SGST @ 6%,Sales Interstate Taxable @12%,Output IGST @12%,ROUND OFF,Other Charges,Sales Interstate Taxable@5%,Output IGST @5%,Grand Total
2024-04-02,Carron Clothing Pvt Ltd,001/24-25,27AABCC2448L1ZK,21689,1960.00 Cr,49.00 Cr,49.00 Cr,17529.00 Cr,1051.00 Cr,1051.00 Cr,,,,,,,8541212.00 Dr
2024-04-02,Honesty Stores,002/24-25,27ABIPS0106J1ZP,12578,3960.00 Cr,99.00 Cr,99.00 Cr,7516.00 Cr,452.00 Cr,452.00 Cr,,,,,,,
2024-04-02,Trios,003/24-25,27AACFT4028M1ZY,1429,,,,1275.00 Cr,77.00 Cr,77.00 Cr,,,,,,,
2024-04-02,Kalapi Nx,004/24-25,27AASFK2634G1Z4,5527,,,,4935.00 Cr,296.00 Cr,296.00 Cr,,,,,,,
2024-04-03,Mom N Me-Punjab,005/24-25,03AYZPS4862M1ZE,78142,,,,,,,69770.00 Cr,8372.00 Cr,,,,,
2024-04-03,Bhape-Di-Hatti,006/24-25,03ACOPS5467R1ZL,45562,,,,,,,40680.00 Cr,4882.00 Cr,,,,,
2024-04-03,Deep Fashion Gallary,007/24-25,03AVLPK9333L1Z8,38405,,,,,,,34290.00 Cr,4115.00 Cr,,,,,
2024-04-03,Kalapi Nx,008/24-25,27AASFK2634G1Z4,7029,,,,6274.00 Cr,377.00 Cr,377.00 Cr,,,1.00 Cr,,,,
2024-04-03,Janta Bazar-Nallasopara,009/24-25,27AAGFJ8219C1ZG,9981,,,,8911.00 Cr,535.00 Cr,535.00 Cr,,,,,,,
2024-04-04,Guru Nanak Garments-Punjab,010/24-25,03AEWPM6690L1ZO,24142,,,,,,,21555.00 Cr,2587.00 Cr,,,,,
2024-04-04,Jay Jalaram Family Mall,011/24-25,24AARFJ9924F1ZZ,30122,,,,,,,26895.00 Cr,3227.00 Cr,,,,,
2024-04-05,Tiny Baby,012/24-25,27BABPS1183E1ZT,13087,,,,11685.00 Cr,701.00 Cr,701.00 Cr,,,,,,,
2024-04-05,Celebrations,013/24-25,,5829,,,,5025.00 Cr,302.00 Cr,302.00 Cr,,,,200.00 Cr,,,
2024-04-06,Celebrations,014/24-25,,1668,,,,1400.00 Cr,84.00 Cr,84.00 Cr,,,,100.00 Cr,,,
2024-04-08,Stop N Shop,015/24-25,27AOFPS2660M1ZG,25940,,,,23160.00 Cr,1390.00 Cr,1390.00 Cr,,,,,,,
2024-04-08,Spice,016/24-25,27AHPPJ7298H1ZL,1668,,,,1400.00 Cr,84.00 Cr,84.00 Cr,,,,100.00 Cr,,,
2024-04-09,Honesty Stores,017/24-25,27ABIPS0106J1ZP,12810,1000.00 Cr,25.00 Cr,25.00 Cr,10499.00 Cr,630.00 Cr,630.00 Cr,,,1.00 Cr,,,,
2024-04-10,Spice,018/24-25,27AHPPJ7298H1ZL,14796,,,,13210.00 Cr,793.00 Cr,793.00 Cr,,,,,,,
2024-04-10,Stop N Shop,019/24-25,27AOFPS2660M1ZG,12255,1000.00 Cr,25.00 Cr,25.00 Cr,10005.00 Cr,600.00 Cr,600.00 Cr,,,,,,,
2024-04-10,Carron Clothing Pvt Ltd,020/24-25,27AABCC2448L1ZK,7709,,,,6882.00 Cr,413.00 Cr,413.00 Cr,,,1.00 Cr,,,,
2024-04-11,Kalapi Nx,021/24-25,27AASFK2634G1Z4,4653,1960.00 Cr,49.00 Cr,49.00 Cr,2315.00 Cr,140.00 Cr,140.00 Cr,,,,,,,
2024-04-11,Sagar,022/24-25,27AABPT1293K1ZD,27574,,,,24620.00 Cr,1477.00 Cr,1477.00 Cr,,,,,,,
2024-04-12,Kalapi Nx,023/24-25,27AASFK2634G1Z4,14226,,,,12701.00 Cr,762.00 Cr,762.00 Cr,,,1.00 Cr,,,,
2024-04-13,Harivar,024/24-25,24AADHT8500M1ZY,1965,,,,,,,1665.00 Cr,200.00 Cr,,100.00 Cr,,,
2024-04-16,Celebrations,025/24-25,,3947,,,,3435.00 Cr,206.00 Cr,206.00 Cr,,,,100.00 Cr,,,
2024-04-17,Tiny Baby,026/24-25,27BABPS1183E1ZT,6587,,,,5880.00 Cr,353.00 Cr,353.00 Cr,,,1.00 Cr,,,,
2024-04-17,Honesty Stores,027/24-25,27ABIPS0106J1ZP,9432,,,,8421.00 Cr,505.00 Cr,505.00 Cr,,,1.00 Cr,,,,
2024-04-19,Carron Clothing Pvt Ltd,028/24-25,27AABCC2448L1ZK,10751,1960.00 Cr,49.00 Cr,49.00 Cr,7763.00 Cr,465.00 Cr,465.00 Cr,,,,,,,
2024-04-22,Angel,029/24-25,24AKFPT5168F1ZZ,6599,,,,,,,3150.00 Cr,378.00 Cr,,,2925.00 Cr,146.00 Cr,
2024-04-22,Celebrations,030/24-25,,1697,,,,1425.00 Cr,86.00 Cr,86.00 Cr,,,,100.00 Cr,,,
2024-04-24,Trios,031/24-25,27AACFT4028M1ZY,8159,,,,7285.00 Cr,437.00 Cr,437.00 Cr,,,,,,,
2024-04-27,Puzzle,032/24-25,27AHIPD1472E1ZO,7443,,,,6645.00 Cr,399.00 Cr,399.00 Cr,,,,,,,
2024-04-27,Celebrations,033/24-25,,9661,,,,8625.00 Cr,518.00 Cr,518.00 Cr,,,,,,,
